system:index,NDMI_mean,NDMI_p10,NDMI_p90,collectDOY,collectYear,fungal_diversity,latitude,longitude,plotID,precip_mm,precip_seasonality,soil_moisture,soil_pH,system:time_start,temp_celsius,temp_seasonality,.geo
4074,0.15913094580173492,0.05497675761580467,0.2284003496170044,128,2018,3,47.129092,-99.245921,WOOD_042,431,71,0.341,5.36,2018-01-01T00:00:00,4.6,121.21,"{""type"":""Point"",""coordinates"":[-99.245921,47.129092]}"
4075,0.3777411878108978,0.1619238406419754,0.6393442749977112,128,2018,7,47.149339,-99.251928,WOOD_005,431,71,0.196,7.56,2018-01-01T00:00:00,4.6,121.21,"{""type"":""Point"",""coordinates"":[-99.251928,47.149339]}"
4076,0.3777411878108978,0.1619238406419754,0.6393442749977112,128,2018,3,47.149339,-99.251928,WOOD_005,431,71,0.163,7.51,2018-01-01T00:00:00,4.6,121.21,"{""type"":""Point"",""coordinates"":[-99.251928,47.149339]}"
4077,0.08254032582044601,-0.032902199774980545,0.17171716690063477,128,2018,4,47.12829,-99.243528,WOOD_044,431,71,0.446,6.29,2018-01-01T00:00:00,4.6,121.21,"{""type"":""Point"",""coordinates"":[-99.243528,47.12829]}"
4078,0.3777411878108978,0.1619238406419754,0.6393442749977112,128,2018,5,47.149339,-99.251928,WOOD_005,431,71,0.217,7.64,2018-01-01T00:00:00,4.6,121.21,"{""type"":""Point"",""coordinates"":[-99.251928,47.149339]}"
4079,0.08254032582044601,-0.032902199774980545,0.17171716690063477,128,2018,10,47.12829,-99.243528,WOOD_044,431,71,0.189,7.54,2018-01-01T00:00:00,4.6,121.21,"{""type"":""Point"",""coordinates"":[-99.243528,47.12829]}"
4080,0.08254032582044601,-0.032902199774980545,0.17171716690063477,128,2018,1,47.12829,-99.243528,WOOD_044,431,71,0.404,6.3,2018-01-01T00:00:00,4.6,121.21,"{""type"":""Point"",""coordinates"":[-99.243528,47.12829]}"
4081,0.010459281504154205,-0.07515694946050644,0.10282257944345474,129,2018,6,47.131002,-99.242763,WOOD_043,431,71,0.327,7.33,2018-01-01T00:00:00,4.6,121.21,"{""type"":""Point"",""coordinates"":[-99.242763,47.131002]}"
4082,0.010459281504154205,-0.07515694946050644,0.10282257944345474,129,2018,4,47.131002,-99.242763,WOOD_043,431,71,0.229,7.23,2018-01-01T00:00:00,4.6,121.21,"{""type"":""Point"",""coordinates"":[-99.242763,47.131002]}"
4083,0.010459281504154205,-0.07515694946050644,0.10282257944345474,129,2018,6,47.131002,-99.242763,WOOD_043,431,71,0.422,7.21,2018-01-01T00:00:00,4.6,121.21,"{""type"":""Point"",""coordinates"":[-99.242763,47.131002]}"
