plotID,longitude,latitude,collectYear,collectDOY,soil_pH,soil_moisture,temp_celsius,precip_mm,temp_seasonality,precip_seasonality,fungal_diversity
CPER_046,-104.747096,40.817297,2016,319,5.41,0.038,8.452466368,364.7399103,85.24955157,58.21076233,2
CPER_047,-104.746715,40.818371,2016,319,6.01,0.031,8.452466368,364.7399103,85.24955157,58.21076233,2
CPER_047,-104.746715,40.818371,2016,319,6.01,0.048,8.452466368,364.7399103,85.24955157,58.21076233,5
CPER_047,-104.746715,40.818371,2016,319,5.73,0.036,8.452466368,364.7399103,85.24955157,58.21076233,6
CPER_048,-104.748858,40.818931,2016,319,5.61,0.039,8.452466368,364.7399103,85.24955157,58.21076233,5
CPER_048,-104.748858,40.818931,2016,319,5.86,0.04,8.452466368,364.7399103,85.24955157,58.21076233,2
CPER_006,-104.748078,40.814769,2016,320,6.48,0.047,8.452466368,364.7399103,85.24955157,58.21076233,6
CPER_006,-104.748078,40.814769,2016,320,6.16,0.044,8.452466368,364.7399103,85.24955157,58.21076233,2
CPER_006,-104.748078,40.814769,2016,320,5.74,0.042,8.452466368,364.7399103,85.24955157,58.21076233,4
CPER_002,-104.729248,40.810934,2016,320,5.97,0.049,8.452466368,364.7399103,85.24955157,58.21076233,5
CPER_002,-104.729248,40.810934,2016,320,5.61,0.045,8.452466368,364.7399103,85.24955157,58.21076233,5
CPER_004,-104.696873,40.81275,2016,320,7.39,0.048,8.452466368,364.7399103,85.24955157,58.21076233,3
CPER_004,-104.696873,40.81275,2016,320,7.45,0.054,8.452466368,364.7399103,85.24955157,58.21076233,3
CPER_004,-104.696873,40.81275,2016,320,7.13,0.083,8.452466368,364.7399103,85.24955157,58.21076233,6
CPER_003,-104.707164,40.818451,2016,320,6.61,0.035,8.452466368,364.7399103,85.24955157,58.21076233,6
CPER_003,-104.707164,40.818451,2016,320,7.14,0.034,8.452466368,364.7399103,85.24955157,58.21076233,2
CPER_001,-104.699535,40.850866,2016,321,6.32,0.022,8.452466368,364.7399103,85.24955157,58.21076233,6
CPER_005,-104.728006,40.853093,2016,321,6.41,0.045,8.452466368,364.7399103,85.24955157,58.21076233,1
CPER_005,-104.728006,40.853093,2016,321,6.86,0.044,8.452466368,364.7399103,85.24955157,58.21076233,2
CPER_005,-104.728006,40.853093,2016,321,5.85,0.037,8.452466368,364.7399103,85.24955157,58.21076233,1
CPER_002,-104.729248,40.810934,2017,93,6.31,0.107,8.452466368,364.7399103,85.24955157,58.21076233,7
CPER_047,-104.746715,40.818371,2017,93,5.45,0.085,8.452466368,364.7399103,85.24955157,58.21076233,2
CPER_002,-104.729248,40.810934,2017,93,6.19,0.092,8.452466368,364.7399103,85.24955157,58.21076233,3
CPER_047,-104.746715,40.818371,2017,93,6.21,0.129,8.452466368,364.7399103,85.24955157,58.21076233,12
CPER_002,-104.729248,40.810934,2017,93,5.96,0.087,8.452466368,364.7399103,85.24955157,58.21076233,5
CPER_004,-104.696873,40.81275,2017,93,7.28,0.082,8.452466368,364.7399103,85.24955157,58.21076233,3
CPER_046,-104.747096,40.817297,2017,93,5.6,0.096,8.452466368,364.7399103,85.24955157,58.21076233,5
CPER_004,-104.696873,40.81275,2017,93,6.71,0.063,8.452466368,364.7399103,85.24955157,58.21076233,2
CPER_046,-104.747096,40.817297,2017,93,5.7,0.107,8.452466368,364.7399103,85.24955157,58.21076233,4
CPER_004,-104.696873,40.81275,2017,93,7.04,0.06,8.452466368,364.7399103,85.24955157,58.21076233,3
CPER_046,-104.747096,40.817297,2017,93,5.73,0.091,8.452466368,364.7399103,85.24955157,58.21076233,8
CPER_003,-104.707164,40.818451,2017,93,7.16,0.063,8.452466368,364.7399103,85.24955157,58.21076233,3
CPER_045,-104.750288,40.817292,2017,93,5.93,0.139,8.452466368,364.7399103,85.24955157,58.21076233,5
CPER_045,-104.750288,40.817292,2017,93,5.61,0.09,8.452466368,364.7399103,85.24955157,58.21076233,4
CPER_045,-104.750288,40.817292,2017,93,5.86,0.095,8.452466368,364.7399103,85.24955157,58.21076233,4
CPER_001,-104.699535,40.850866,2017,93,7.35,0.134,8.452466368,364.7399103,85.24955157,58.21076233,2
CPER_001,-104.699535,40.850866,2017,93,7.44,0.061,8.452466368,364.7399103,85.24955157,58.21076233,4
CPER_048,-104.748858,40.818931,2017,93,6.07,0.1,8.452466368,364.7399103,85.24955157,58.21076233,5
CPER_001,-104.699535,40.850866,2017,93,6.61,0.068,8.452466368,364.7399103,85.24955157,58.21076233,3
CPER_048,-104.748858,40.818931,2017,93,5.85,0.106,8.452466368,364.7399103,85.24955157,58.21076233,5
CPER_048,-104.748858,40.818931,2017,93,5.42,0.111,8.452466368,364.7399103,85.24955157,58.21076233,6
CPER_005,-104.728006,40.853093,2017,93,6.77,0.134,8.452466368,364.7399103,85.24955157,58.21076233,5
CPER_005,-104.728006,40.853093,2017,93,6.38,0.122,8.452466368,364.7399103,85.24955157,58.21076233,3
CPER_006,-104.748078,40.814769,2017,93,6.07,0.106,8.452466368,364.7399103,85.24955157,58.21076233,6
CPER_006,-104.748078,40.814769,2017,93,5.45,0.099,8.452466368,364.7399103,85.24955157,58.21076233,8
CPER_006,-104.748078,40.814769,2017,93,5.73,0.104,8.452466368,364.7399103,85.24955157,58.21076233,7
CPER_002,-104.729248,40.810934,2017,191,6.01,0.106,8.452466368,364.7399103,85.24955157,58.21076233,3
CPER_002,-104.729248,40.810934,2017,191,5.77,0.088,8.452466368,364.7399103,85.24955157,58.21076233,5
CPER_002,-104.729248,40.810934,2017,191,5.92,0.067,8.452466368,364.7399103,85.24955157,58.21076233,5
CPER_004,-104.696873,40.81275,2017,191,7.14,0.026,8.452466368,364.7399103,85.24955157,58.21076233,4
CPER_046,-104.747096,40.817297,2017,191,5.77,0.054,8.452466368,364.7399103,85.24955157,58.21076233,7
CPER_046,-104.747096,40.817297,2017,191,5.4,0.059,8.452466368,364.7399103,85.24955157,58.21076233,7
CPER_046,-104.747096,40.817297,2017,191,5.79,0.057,8.452466368,364.7399103,85.24955157,58.21076233,5
CPER_003,-104.707164,40.818451,2017,191,7.36,0.04,8.452466368,364.7399103,85.24955157,58.21076233,2
CPER_003,-104.707164,40.818451,2017,191,6.85,0.035,8.452466368,364.7399103,85.24955157,58.21076233,3
CPER_045,-104.750288,40.817292,2017,191,5.63,0.043,8.452466368,364.7399103,85.24955157,58.21076233,1
CPER_045,-104.750288,40.817292,2017,191,5.56,0.058,8.452466368,364.7399103,85.24955157,58.21076233,5
CPER_001,-104.699535,40.850866,2017,191,7.32,0.048,8.452466368,364.7399103,85.24955157,58.21076233,4
CPER_047,-104.746715,40.818371,2017,191,5.97,0.053,8.452466368,364.7399103,85.24955157,58.21076233,6
CPER_005,-104.728006,40.853093,2017,191,7.27,0.09,8.452466368,364.7399103,85.24955157,58.21076233,2
