system:index,NBR_mean,NBR_p10,NBR_p90,NBR_stdDev,NDMI_mean,NDMI_p10,NDMI_p90,NDMI_stdDev,NDVI_mean,NDVI_p10,NDVI_p90,NDVI_stdDev,ND_GREEN_RED_mean,ND_GREEN_RED_p10,ND_GREEN_RED_p90,ND_GREEN_RED_stdDev,RED_SWIR_RATIO_mean,RED_SWIR_RATIO_p10,RED_SWIR_RATIO_p90,RED_SWIR_RATIO_stdDev,SAVI_mean,SAVI_p10,SAVI_p90,SAVI_stdDev,collectDOY,collectYear,fungal_diversity,latitude,longitude,plotID,precip_mm,precip_seasonality,soil_moisture,soil_pH,system:time_start,temp_celsius,temp_seasonality,.geo
4973,0.10344202071428299,0.06919564306735992,0.13199426233768463,0.02595167215128043,-0.0891038253903389,-0.09887507557868958,-0.07637655735015869,0.00941981507263102,0.4502769410610199,0.4027649760246277,0.5042898058891296,0.041701468769735926,-0.06448303163051605,-0.07999999821186066,-0.0543859638273716,0.01113706016553876,0.8365101290887419,0.8200431034482758,0.858085808580858,0.015945440551728755,0.20243635395996873,0.18284518828451884,0.22358410819949281,0.016667975780480133,114,2018,13,31.806908,-88.193888,LENO_002,1510.181818,20,0.554,4.47,2018-01-01T00:00:00,17.95727273,67.499,"{""type"":""Point"",""coordinates"":[-88.193888,31.806908]}"
4974,0.10344202071428299,0.06919564306735992,0.13199426233768463,0.02595167215128043,-0.0891038253903389,-0.09887507557868958,-0.07637655735015869,0.00941981507263102,0.4502769410610199,0.4027649760246277,0.5042898058891296,0.041701468769735926,-0.06448303163051605,-0.07999999821186066,-0.0543859638273716,0.01113706016553876,0.8365101290887419,0.8200431034482758,0.858085808580858,0.015945440551728755,0.20243635395996873,0.18284518828451884,0.22358410819949281,0.016667975780480133,114,2018,16,31.806908,-88.193888,LENO_002,1510.181818,20,0.737,4.85,2018-01-01T00:00:00,17.95727273,67.499,"{""type"":""Point"",""coordinates"":[-88.193888,31.806908]}"
4975,0.27279287576675415,0.2199137657880783,0.33273863792419434,0.04633080654724374,-0.005572542082518339,-0.04481276869773865,0.0429319366812706,0.03641568466738348,0.6300085783004761,0.5748987793922424,0.6852791905403137,0.0450627539912507,-0.06986509263515472,-0.08527132123708725,-0.05482041463255882,0.012434157112993657,0.9915647788052135,0.9142185663924794,1.0897155361050328,0.0731410437011548,0.2622773991823479,0.2442660550458716,0.27348301833167543,0.012861989357833153,115,2018,16,31.854295,-88.160721,LENO_064,1510.181818,20,0.287,5.05,2018-01-01T00:00:00,17.95727273,67.499,"{""type"":""Point"",""coordinates"":[-88.160721,31.854295]}"
4976,0.27279287576675415,0.2199137657880783,0.33273863792419434,0.04633080654724374,-0.005572542082518339,-0.04481276869773865,0.0429319366812706,0.03641568466738348,0.6300085783004761,0.5748987793922424,0.6852791905403137,0.0450627539912507,-0.06986509263515472,-0.08527132123708725,-0.05482041463255882,0.012434157112993657,0.9915647788052135,0.9142185663924794,1.0897155361050328,0.0731410437011548,0.2622773991823479,0.2442660550458716,0.27348301833167543,0.012861989357833153,115,2018,9,31.854295,-88.160721,LENO_064,1510.181818,20,0.288,4.6,2018-01-01T00:00:00,17.95727273,67.499,"{""type"":""Point"",""coordinates"":[-88.160721,31.854295]}"
4977,0.07861151546239853,0.07286515086889267,0.08822585642337799,0.006841482196334505,-0.14469864964485168,-0.1482771933078766,-0.14213454723358154,0.0026083014381876146,0.49036476016044617,0.4624719023704529,0.5182884931564331,0.02278702755819837,-0.1046958938241005,-0.16333332657814026,-0.0716845914721489,0.041572402665209826,0.7471937865859166,0.7417397167902898,0.7511071744906997,0.00397639631312767,0.206127643507217,0.1746782446890991,0.23007146783947224,0.02322861064892273,115,2018,23,31.855414,-88.160393,LENO_063,1510.181818,20,0.323,4.59,2018-01-01T00:00:00,17.95727273,67.499,"{""type"":""Point"",""coordinates"":[-88.160393,31.855414]}"
4978,0.07861151546239853,0.07286515086889267,0.08822585642337799,0.006841482196334505,-0.14469864964485168,-0.1482771933078766,-0.14213454723358154,0.0026083014381876146,0.49036476016044617,0.4624719023704529,0.5182884931564331,0.02278702755819837,-0.1046958938241005,-0.16333332657814026,-0.0716845914721489,0.041572402665209826,0.7471937865859166,0.7417397167902898,0.7511071744906997,0.00397639631312767,0.206127643507217,0.1746782446890991,0.23007146783947224,0.02322861064892273,115,2018,15,31.855414,-88.160393,LENO_063,1510.181818,20,0.282,5.15,2018-01-01T00:00:00,17.95727273,67.499,"{""type"":""Point"",""coordinates"":[-88.160393,31.855414]}"
4979,0.07861151546239853,0.07286515086889267,0.08822585642337799,0.006841482196334505,-0.14469864964485168,-0.1482771933078766,-0.14213454723358154,0.0026083014381876146,0.49036476016044617,0.4624719023704529,0.5182884931564331,0.02278702755819837,-0.1046958938241005,-0.16333332657814026,-0.0716845914721489,0.041572402665209826,0.7471937865859166,0.7417397167902898,0.7511071744906997,0.00397639631312767,0.206127643507217,0.1746782446890991,0.23007146783947224,0.02322861064892273,115,2018,10,31.855414,-88.160393,LENO_063,1510.181818,20,0.329,5.25,2018-01-01T00:00:00,17.95727273,67.499,"{""type"":""Point"",""coordinates"":[-88.160393,31.855414]}"
4980,0.03122643753886223,-0.01356132049113512,0.06815464049577713,0.03382015288981878,-0.17810748517513275,-0.21047663688659668,-0.15163026750087738,0.024382508517599117,0.44785067439079285,0.43238911032676697,0.4781864881515503,0.021451996230959353,-0.07438743859529495,-0.09597523510456085,-0.04901117831468582,0.01935923416857056,0.6983603453296525,0.6522417153996102,0.7366684991753711,0.03490676254612864,0.20396556636220955,0.17661184689273757,0.2285363859362224,0.02128924356869286,115,2018,32,31.857544,-88.163277,LENO_061,1510.181818,20,0.385,4.33,2018-01-01T00:00:00,17.95727273,67.499,"{""type"":""Point"",""coordinates"":[-88.163277,31.857544]}"
4981,0.13510118424892426,0.07655754685401917,0.2042139321565628,0.052648634297510016,-0.09555517882108688,-0.1411120444536209,-0.046213094145059586,0.03883468159983715,0.4662727415561676,0.42537572979927063,0.5109303593635559,0.03502860003853437,-0.10479964315891266,-0.1204330176115036,-0.08089887350797653,0.017165844922586184,0.8278684777648966,0.7526762643041712,0.9116564417177915,0.06518736788422276,0.23770297110076374,0.216377206832209,0.26450934290310607,0.020028370293018665,115,2018,6,31.857054,-88.161742,LENO_062,1510.181818,20,0.355,4.65,2018-01-01T00:00:00,17.95727273,67.499,"{""type"":""Point"",""coordinates"":[-88.161742,31.857054]}"
4982,-0.01722339540719986,-0.04608501121401787,0.030538922175765038,0.03401699752158871,-0.18880468606948853,-0.21328413486480713,-0.17219817638397217,0.017672981536137316,0.3838548958301544,0.34172436594963074,0.44439780712127686,0.043891700200734435,-0.13715291023254395,-0.23507462441921234,-0.07502569258213043,0.07007067799397564,0.6827308719780278,0.6484184914841848,0.7061961427985228,0.024803347745143013,0.15848758136111044,0.12361511610259522,0.2151564404713531,0.04042495603379384,115,2018,10,31.824646,-88.177623,LENO_001,1510.181818,20,0.534,5.6,2018-01-01T00:00:00,17.95727273,67.499,"{""type"":""Point"",""coordinates"":[-88.177623,31.824646]}"
